Date,Time,Facility,Error
23-JUN-22,14:37:42,SEAL-270,Flow command above maximum (E2)
23-JUN-22,14:37:38,SRVO-171,MotorSpd lim/DVC(G:1 A:3)
23-JUN-22,14:37:38,SEAL-349,Proc logger process_id not found (E2)
23-JUN-22,14:37:36,SEAL-270,Flow command above maximum (E2)
23-JUN-22,14:37:28,MOTN-200,"(S012SD01, 420) Too long anticipate time"
23-JUN-22,14:37:18,MOTN-200,"(S012SD01, 378) Too long anticipate time"
23-JUN-22,14:37:16,MOTN-200,"(S012SD01, 359) Too long anticipate time"
23-JUN-22,14:37:14,MOTN-200,"(S012SD01, 345) Too long anticipate time"
23-JUN-22,14:37:14,MOTN-200,"(S012SD01, 336) Too long anticipate time"
23-JUN-22,14:37:14,MOTN-200,"(S012SD01, 329) Too long anticipate time"
23-JUN-22,14:37:08,MOTN-200,"(S012SD01, 283) Too long anticipate time"
23-JUN-22,14:37:02,MOTN-200,"(S012SD01, 252) Too long anticipate time"
23-JUN-22,14:37:00,MOTN-200,"(S012SD01, 244) Too long anticipate time"
23-JUN-22,14:36:56,MOTN-200,"(S012SD01, 208) Too long anticipate time"
23-JUN-22,14:36:48,MOTN-200,"(S012SD01, 185) Too long anticipate time"
23-JUN-22,14:36:46,MOTN-200,"(S012SD01, 156) Too long anticipate time"
23-JUN-22,14:36:40,MOTN-200,"(S012SD01, 117) Too long anticipate time"
23-JUN-22,14:36:34,MOTN-200,"(S012SD01, 76) Too long anticipate time"
23-JUN-22,14:36:34,MOTN-200,"(S012SD01, 75) Too long anticipate time"
23-JUN-22,14:36:34,MOTN-056,Speed limits used (G:1)
23-JUN-22,14:36:32,MOTN-056,Speed limits used (G:1)
23-JUN-22,14:36:04,SYST-014,Program select failed
23-JUN-22,14:32:04,SYST-034,HOLD signal from SOP/UOP is lost
23-JUN-22,14:32:04,PRIO-063,Bad I/O asg: rack 89 slot 1
23-JUN-22,14:29:30,SRVO-407,"DCS SSO Fence Open 1,1"
23-JUN-22,14:29:30,PRIO-063,Bad I/O asg: rack 89 slot 1
23-JUN-22,14:29:28,PRIO-063,Bad I/O asg: rack 89 slot 1
23-JUN-22,14:29:28,SRVO-407,"DCS SSO Fence Open 1,1"
23-JUN-22,14:28:26,SRVO-408,"DCS SSO Ext Emergency Stop 1,1"
